Technology,Zip_Code,Count,Income,Pop
PHEV,78220,2,30772,16700
BEV,78221,5,43437,41185
PHEV,78221,8,43437,41185
BEV,78222,5,50766,25227
PHEV,78222,6,50766,25227
BEV,78223,8,42762,56055
PHEV,78223,9,42762,56055
BEV,78224,25,46797,22851
PHEV,78224,25,46797,22851
BEV,78227,7,39864,51394
PHEV,78227,3,39864,51394
BEV,78228,9,42418,62359
PHEV,78228,9,42418,62359
BEV,78229,19,40742,34125
PHEV,78229,6,40742,34125
BEV,78230,76,62332,45021
PHEV,78230,21,62332,45021
BEV,78231,21,92174,9001
PHEV,78231,10,92174,9001
BEV,78232,59,73787,39072
PHEV,78232,25,73787,39072
BEV,78233,23,54865,50103
PHEV,78233,11,54865,50103
BEV,78234,9,79167,4965
PHEV,78234,6,79167,4965
BEV,78235,1,44583,1476
BEV,78236,1,80262,6896
PHEV,78236,2,80262,6896
BEV,78237,2,31399,39105
PHEV,78237,3,31399,39105
BEV,78238,10,50402,25660
PHEV,78238,6,50402,25660
BEV,78239,13,61234,27431
PHEV,78239,7,61234,27431
BEV,78240,29,56154,60927
PHEV,78240,21,56154,60927
BEV,78242,3,42857,34893
PHEV,78242,3,42857,34893
BEV,78244,11,62080,30981
PHEV,78244,10,62080,30981
BEV,78245,73,69609,76518
PHEV,78245,26,69609,76518
BEV,78247,28,79466,53892
PHEV,78247,20,79466,53892
BEV,78248,47,119886,14345
PHEV,78248,10,119886,14345
BEV,78249,69,66539,61639
PHEV,78249,21,66539,61639
BEV,78250,28,71476,61669
PHEV,78250,18,71476,61669
BEV,78251,44,65691,62186
PHEV,78251,22,65691,62186
BEV,78252,7,60787,12009
PHEV,78252,9,60787,12009
BEV,78253,92,101138,43770
PHEV,78253,36,101138,43770
BEV,78254,75,89055,59107
PHEV,78254,25,89055,59107
BEV,78255,95,124397,14825
PHEV,78255,21,124397,14825
BEV,78256,51,91866,11238
PHEV,78256,17,91866,11238
BEV,78257,102,77269,7538
PHEV,78257,17,77269,7538
BEV,78258,136,105598,44747
PHEV,78258,45,105598,44747
BEV,78259,56,90840,26338
PHEV,78259,18,90840,26338
BEV,78260,93,115500,26301
PHEV,78260,32,115500,26301
BEV,78261,65,93853,16749
PHEV,78261,24,93853,16749
BEV,78263,3,78897,4440
BEV,78264,2,50729,10623
PHEV,78264,2,50729,10623
BEV,78266,23,122957,6913
PHEV,78266,4,122957,6913
PHEV,78330,1,45313,934
BEV,78332,4,39979,28941
PHEV,78332,4,39979,28941
BEV,78336,5,42691,11214
PHEV,78336,2,42691,11214
PHEV,78355,1,28009,7168
BEV,78361,1,33946,5320
BEV,78362,1,64874,10218
PHEV,78362,2,64874,10218
BEV,78363,8,43261,29544
PHEV,78363,4,43261,29544
PHEV,78368,6,40380,9460
BEV,78370,1,53644,4952
PHEV,78370,1,53644,4952
BEV,78373,4,59746,4393
BEV,78374,8,78641,18369
PHEV,78374,6,78641,18369
BEV,78377,1,52625,3745
BEV,78379,1,55536,1413
BEV,78380,7,49424,24300
PHEV,78380,2,49424,24300
BEV,78382,9,47098,21123
PHEV,78382,5,47098,21123
BEV,78383,1,62969,4296
PHEV,78384,1,31192,5739
BEV,78389,1,54886,1874
BEV,78390,3,40298,5059
PHEV,78390,2,40298,5059
BEV,78393,1,50613,2161
BEV,78401,4,28464,5265
BEV,78404,12,42260,17761
PHEV,78404,2,42260,17761
PHEV,78405,3,30284,15059
BEV,78408,1,34718,11583
